,FH,t95,RL,TNS,NWSECH,WL
Solution 0,1065.0,8400.0,23244.615865241223,98.78719352535111,70.0,96893.921875
Solution 1,1380.0,6930.0,22938.417548335874,112.40180909307308,530.0,92592.4296875
Solution 2,1770.0,6855.0,27750.292616450504,149.70364199000238,2.0,96666.6640625
Solution 3,1215.0,6900.0,23385.442389914006,106.29611997143537,553.0,92699.3359375
Solution 4,2925.0,5460.0,31545.420900662517,141.10925970007142,32.0,113711.984375
Solution 5,945.0,5460.0,21905.25306031022,96.66626993572959,76.0,93774.3359375
Solution 6,1020.0,5460.0,21270.98025592166,104.0288026660319,530.0,94440.640625
Solution 7,1980.0,6900.0,27689.432651425563,150.78195667698168,3.0,101816.984375
Solution 8,2505.0,7830.0,31928.89022851916,123.85265412996905,13.0,125721.96875
Solution 9,2580.0,5460.0,29321.86810586522,133.44679838133777,33.0,113494.21875
Solution 10,2190.0,6840.0,25987.514075494724,117.4363246845989,46.0,102925.953125
Solution 11,2130.0,5520.0,26929.79911162134,117.45060699833373,15.0,107219.1953125
Solution 12,1260.0,6960.0,24223.051288705086,105.65698643180195,70.0,97395.3046875
Solution 13,1110.0,5460.0,21986.816154941414,103.40752201856701,324.0,93502.53125
Solution 14,1110.0,5460.0,22113.53628392228,106.97810045227327,418.0,93464.6796875
Solution 15,2100.0,6900.0,27852.229663933602,119.47512497024518,31.0,108726.1328125
Solution 16,1050.0,5460.0,21736.080540057857,102.53630088074269,204.0,95009.875
Solution 17,1890.0,6855.0,24843.721061459528,112.43394429897643,46.0,104861.8125
Solution 18,1035.0,5460.0,22595.579774268386,98.18376577005475,76.0,92790.609375
Solution 19,1140.0,8370.0,22835.162442516033,97.06617472030469,70.0,96374.875
Solution 20,1050.0,5460.0,21770.61396562118,102.30064270411806,204.0,95973.625
Solution 21,1050.0,5460.0,21973.884768168642,101.58652701737681,409.0,93715.0390625
Solution 22,1860.0,6900.0,27210.794499252188,121.61747203046893,30.0,105123.1015625
Solution 23,1695.0,6900.0,25495.927185209075,114.82266127112592,34.0,101500.03125
Solution 24,1710.0,6900.0,25957.18095853575,115.07260176148536,36.0,101057.578125
Solution 25,2010.0,6855.0,26777.60535545067,118.43608664603666,39.0,108188.421875
Solution 26,945.0,6900.0,22646.793452225033,97.10545108307547,73.0,97789.96875
Solution 27,2085.0,5460.0,27827.274269096713,120.04998809807189,41.0,105697.2109375
Solution 28,1065.0,6900.0,22224.597566881133,106.17472030468936,530.0,93207.125
Solution 29,1050.0,8400.0,22976.509557454476,98.17305403475363,70.0,97079.125
